15,15
14,14
13,13
12,12
15,15
14,14
13,13
12,12
15,15
14,14
13,13
12,12
15,15
14,14
13,13
12,12
15,15
14,14
13,13
12,12
15,15
14,14
13,13
12,12
15,15
107,1358
14,15
13,14
12,13
15,12
14,15
13,14
12,13
15,12
14,15
13,14
12,13
15,12
14,15
13,14
12,13
15,12
14,15
13,14
12,13
15,12
14,15
13,14
12,13
15,12
14,15
13,13
12,12
35,35
34,34
33,33
32,32
35,35
34,34
33,33
330,11589
32,32
35,35
34,34
33,33
32,32
35,35
34,34
33,33
32,32
35,35
34,34
33,33
32,32
35,35
34,34
33,33
32,32
35,35
34,34
33,33
32,32
35,35
34,34
33,33
32,32
35,35
34,34
33,33
32,32
35,35
34,34
33,33
32,32
35,35
34,34
33,33
32,32
35,35
34,34
33,33
32,32
55,55
54,54
53,53
52,52
56,56
57,57
58,58
55,55
54,54
53,53
52,52
56,56
57,57
58,58
55,55
54,54
53,53
52,52
56,56
57,57
58,58
55,55
54,54
53,53
52,52
56,56
57,57
58,58
55,55
54,54
53,53
52,52
56,56
57,57
58,58
55,55
54,54
53,53
52,52
560,2211
56,56
57,57
58,58
55,55
54,54
53,53
52,52
56,56
57,57
58,58
55,55
54,54
53,53
52,52
56,56
57,57
58,58
55,55
54,54
53,53
52,52
56,56
57,57
58,58
55,55
54,54
53,53
52,52
56,56
57,57
58,58
55,55
54,54
53,53
52,52
56,56
57,57
58,58
